City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,westport,41.1415,-73.3579,11.82,94,100,4.63,US,1746853758
1,thompson,55.7435,-97.8558,3.9,58,1,2.75,CA,1746853759
2,port mathurin,-19.6833,63.4167,26.52,80,27,9.17,MU,1746853761
3,waitangi,-43.9535,-176.5597,12.75,70,73,7.65,NZ,1746853762
4,manokwari,-0.8667,134.0833,28.43,71,72,2.02,ID,1746853763
5,al manshah,26.4769,31.8035,28.86,19,1,2.27,EG,1746853764
6,saint-philippe,-21.3585,55.7679,25.45,86,54,6.02,RE,1746853765
7,lucea,18.451,-78.1736,25.27,86,58,2.67,JM,1746853766
8,blackmans bay,-43.0167,147.3167,18.74,56,72,0.89,AU,1746853767
9,bilibino,68.0546,166.4372,-1.15,73,39,0.72,RU,1746853768
10,mahina,-17.5065,-149.489,26.87,78,0,4.12,PF,1746853769
11,alice springs,-23.7,133.8833,23.75,27,0,4.63,AU,1746853770
12,port-aux-francais,-49.35,70.2167,4.82,85,46,14.5,TF,1746853772
13,puerto natales,-51.7236,-72.4875,3.62,92,100,0.81,CL,1746853773
14,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,61,75,6.0,RU,1746853774
15,vila velha,-20.3297,-40.2925,24.97,88,75,3.09,BR,1746853776
16,atafu village,-8.5421,-172.5159,28.07,76,85,3.81,TK,1746853777
17,badger,64.8,-147.5333,14.95,24,75,4.12,US,1746853778
18,kapuskasing,49.4169,-82.4331,5.66,72,95,5.62,CA,1746853779
19,punta arenas,-53.15,-70.9167,6.06,75,100,5.66,CL,1746853780
20,cabedelo,-6.9811,-34.8339,24.37,86,76,3.91,BR,1746853782
21,esperanza,19.5847,-70.9849,21.28,93,0,2.21,DO,1746853783
22,port elizabeth,-33.918,25.5701,14.16,88,0,3.6,ZA,1746853784
23,san patricio,28.017,-97.5169,18.97,81,64,3.06,US,1746853785
24,lionel town,17.8101,-77.2406,26.0,88,9,3.08,JM,1746853786
25,voru,57.8339,27.0194,4.87,78,91,1.79,EE,1746853787
26,georgetown,5.4112,100.3354,30.5,73,40,3.58,MY,1746853788
27,lobujya,27.95,86.8167,-0.67,64,0,2.45,NP,1746853789
28,uruacu,-14.5247,-49.1408,22.14,54,28,1.91,BR,1746853790
29,albany,42.6001,-73.9662,8.65,96,100,0.45,US,1746853791
30,port alfred,-33.5906,26.891,15.66,89,13,1.87,ZA,1746853793
31,praia da vitoria,38.7333,-27.0667,13.69,76,37,5.24,PT,1746853794
32,ribeira grande,38.5167,-28.7,14.87,78,3,3.58,PT,1746853795
33,lihue,21.9789,-159.3672,21.77,83,100,4.12,US,1746853796
34,yellowknife,62.456,-114.3525,4.67,77,1,1.61,CA,1746853797
35,stanley,54.868,-1.6985,5.84,85,0,0.0,GB,1746853798
36,iqaluit,63.7506,-68.5145,-8.15,67,75,8.23,CA,1746853799
37,aykhal,66.0,111.5,0.7,92,100,2.45,RU,1746853800
38,bairnsdale,-37.8333,147.6167,17.25,68,33,1.34,AU,1746853801
39,invercargill,-46.4,168.35,11.68,96,100,4.92,NZ,1746853802
40,mount pearl,47.5166,-52.7813,2.47,96,99,1.34,CA,1746853804
41,grytviken,-54.2811,-36.5092,-1.01,82,66,5.34,GS,1746853805
42,ketchikan,55.3422,-131.6461,9.63,83,100,6.17,US,1746853806
43,adamstown,-25.066,-130.1015,24.77,71,40,7.95,PN,1746853807
44,queenstown,-31.8976,26.8753,13.5,37,0,4.23,ZA,1746853808
45,puerto ayora,-0.7393,-90.3518,24.64,83,32,2.59,EC,1746853809
46,areia branca,-4.9561,-37.1369,25.36,79,99,6.51,BR,1746853810
47,keflavik,64.0049,-22.5624,2.24,93,75,10.8,IS,1746853811
48,inhambane,-23.865,35.3833,17.99,100,20,0.0,MZ,1746853812
49,haiku-pauwela,20.9219,-156.3051,24.47,77,20,9.39,US,1746853813
50,prado,-17.3411,-39.2208,22.64,93,10,1.77,BR,1746853815
51,bethel,41.3712,-73.414,11.12,93,100,0.89,US,1746853816
52,edinburgh of the seven seas,-37.0676,-12.3116,16.65,81,100,10.41,SH,1746853817
53,wailua homesteads,22.0669,-159.378,21.44,83,100,4.12,US,1746853818
54,nar'yan-mar,67.6713,53.087,-3.79,88,60,1.89,RU,1746853819
55,tabou,4.423,-7.3528,25.84,87,99,1.27,CI,1746853820
56,west island,-12.1568,96.8225,29.99,74,20,8.75,CC,1746853821
57,longyearbyen,78.2186,15.6401,1.91,80,75,11.32,SJ,1746853822
58,ilulissat,69.2167,-51.1,-2.99,54,100,6.17,GL,1746853824
59,kiunga,-6.1219,141.2906,28.85,70,100,0.2,PG,1746853825
60,forbes,-33.3833,148.0167,21.86,38,0,3.13,AU,1746853826
